Tube Line,From Station,To Station,Weight,Rev_Weight
Bakerloo,Harrow and Wealdstone,Kenton,2.5,2.5
Bakerloo,Paddington,Edgware Road (Bakerloo),2,1.5
Bakerloo,Edgware Road (Bakerloo),Marylebone,1,1.5
Bakerloo,Marylebone,Baker Street,1,1.5
Bakerloo,Baker Street,Regents Park,2,1.5
Bakerloo,Regents Park,Oxford Circus,2,2.5
Bakerloo,Oxford Circus,Piccadilly Circus,2,2
Bakerloo,Piccadilly Circus,Charing Cross,2,1.5
Bakerloo,Charing Cross,Embankment,1,1
Bakerloo,Embankment,Waterloo,1.5,2
Bakerloo,Waterloo,Lambeth North,2,1.5
Bakerloo,Lambeth North,Elephant and Castle,2,3
Bakerloo,Warwick Avenue,Paddington,2,2
Bakerloo,Maida Vale,Warwick Avenue,1.5,1.5
Bakerloo,Kenton,South Kenton,2,2
Bakerloo,South Kenton,North Wembley,2,2
Bakerloo,North Wembley,Wembley Central,2,2
Bakerloo,Wembley Central,Stonebridge Park,2.5,2.5
Bakerloo,Stonebridge Park,Harlesden,2.5,2.5
Bakerloo,Harlesden,Willesden Junction,2,2
Bakerloo,Willesden Junction,Kensal Green,3,2.5
Bakerloo,Kensal Green,Queens Park,3,3.5
Bakerloo,Queens Park,Kilburn Park,2.5,1.5
Bakerloo,Kilburn Park,Maida Vale,2,2
Central,West Acton,Ealing Broadway,2.75,2.25
Central,North Acton,Hanger Lane,3.25,3.5
Central,Hanger Lane,Perivale,2.5,2.5
Central,Perivale,Greenford,2.25,2
Central,Greenford,Northolt,2.25,2.25
Central,Northolt,South Ruislip,2.5,2.75
Central,South Ruislip,Ruislip Gardens,1.75,1.5
Central,Ruislip Gardens,West Ruislip,2.5,2.5
Central,East Acton,North Acton,2,1.75
Central,Oxford Circus,Bond Street,1.5,1.5
Central,Leyton,Stratford,2.75,2.75
Central,North Acton,West Acton,2.75,3
Central,White City,East Acton,2.75,3
Central,Shepherds Bush,White City,3.25,2.75
Central,Gants Hill,Newbury Park,3,3
Central,Newbury Park,Barkingside,1.75,2
Central,Barkingside,Fairlop,1.75,1.75
Central,Fairlop,Hainault,2,2
Central,Hainault,Grange Hill,2,2.25
Central,Grange Hill,Chigwell,2,2.25
Central,Chigwell,Roding Valley,3.5,3
Central,Leytonstone,Leyton,2.25,2.5
Central,Stratford,Mile End,3.5,3.5
Central,Mile End,Bethnal Green,2.75,2.25
Central,Bethnal Green,Liverpool Street,3.25,3
Central,Liverpool Street,Bank,2,2.25
Central,Bank,St. Pauls,1.75,2
Central,St. Pauls,Chancery Lane,2,1.75
Central,Chancery Lane,Holborn,1.25,1.25
Central,Holborn,Tottenham Court Road,1.75,2
Central,Redbridge,Gants Hill,2,1.75
Central,Wanstead,Redbridge,2,2
Central,Holland Park,Shepherds Bush,1.75,1.75
Central,Notting Hill Gate,Holland Park,1.5,1.5
Central,Queensway,Notting Hill Gate,1.5,1.5
Central,Lancaster Gate,Queensway,2,1.5
Central,Bond Street,Marble Arch,1.5,1.25
Central,Marble Arch,Lancaster Gate,1.75,2.5
Central,Epping,Theydon Bois,2.75,2.75
Central,Theydon Bois,Debden,3.5,3.25
Central,Debden,Loughton,3,2.5
Central,Loughton,Buckhurst Hill,2.5,2.5
Central,Buckhurst Hill,Woodford,2.75,2.5
Central,Woodford,South Woodford,2.25,2.25
Central,South Woodford,Snaresbrook,2,2
Central,Snaresbrook,Leytonstone,2.75,2.25
Central,Leytonstone,Wanstead,2.25,2.75
Central,Tottenham Court Road,Oxford Circus,1.25,1.25
Circle,Kings Cross St. Pancras,Farringdon,3.5,3.5
Circle,South Kensington,Gloucester Road,1.5,2
Circle,Aldgate,Tower Hill,2,2
Circle,Liverpool Street,Aldgate,2.5,2
Circle,Moorgate,Liverpool Street,1.5,1.5
Circle,Farringdon,Barbican,1.5,1.5
Circle,Euston Square,Kings Cross St. Pancras,2,2
Circle,Great Portland Street,Euston Square,1.5,1.5
Circle,Baker Street,Great Portland Street,2,2
Circle,Edgware Road (Circle/District/Hammersmith and City),Baker Street,2.5,2.5
Circle,Barbican,Moorgate,1.5,2
Circle,High Street Kensington,Notting Hill Gate,2,2
Circle,Tower Hill,Monument,2,1.5
Circle,Monument,Cannon Street,1.5,1
Circle,Sloane Square,South Kensington,2.5,2.5
Circle,Victoria,Sloane Square,2,2.5
Circle,St. James's Park,Victoria,1.5,2
Circle,Westminster,St. James's Park,2,1.5
Circle,Embankment,Westminster,2,1.5
Circle,Temple,Embankment,2,2
Circle,Blackfriars,Temple,1.5,2
Circle,Mansion House,Blackfriars,2,1.5
Circle,Cannon Street,Mansion House,1,1.5
Circle,Gloucester Road,High Street Kensington,2.5,2.5
Circle,Notting Hill Gate,Bayswater,2,2
Circle,Bayswater,Paddington,2,2
Circle,Westbourne Park,Royal Oak,2,1.5
Circle,Latimer Road,Ladbroke Grove,1.5,1.5
Circle,Wood Lane,Latimer Road,1.5,1.5
Circle,Shepherds Bush Market,Wood Lane,1.5,1.5
Circle,Royal Oak,Paddington,1.5,2
Circle,Goldhawk Road,Shepherds Bush Market,1.5,1.5
Circle,Hammersmith (Met.),Goldhawk Road,2.5,1.5
Circle,Ladbroke Grove,Westbourne Park,1.5,1.5
Circle,Paddington,Edgware Road (Circle/District/Hammersmith and City),2,3
District,Gunnersbury,Kew Gardens,2.5,2.5
District,Kew Gardens,Richmond,3.5,3.5
District,Turnham Green,Chiswick Park,2,2
District,Chiswick Park,Acton Town,2,2.5
District,Acton Town,Ealing Common,3,2.5
District,Ealing Common,Ealing Broadway,3,3.5
District,Upney,Barking,2,2.5
District,Dagenham Heathway,Becontree,2.5,2.5
District,Dagenham East,Dagenham Heathway,2,2
District,Elm Park,Dagenham East,3,3
District,Hornchurch,Elm Park,2.5,2.5
District,Fulham Broadway,Parsons Green,2,2
District,Upminster Bridge,Hornchurch,2,2
District,Upminster,Upminster Bridge,2,2
District,Stamford Brook,Turnham Green,1.5,1.5
District,Ravenscourt Park,Stamford Brook,1.5,1.5
District,East Putney,Southfields,2.5,2.5
District,Putney Bridge,East Putney,2.5,2
District,Parsons Green,Putney Bridge,2,2.5
District,West Brompton,Fulham Broadway,2,2
District,Earls Court,West Brompton,2,1.5
District,Earls Court,Kensington (Olympia),3.5,3
District,Bayswater,Paddington,2,2
District,Notting Hill Gate,Bayswater,2,2
District,Wimbledon Park,Wimbledon,2.5,3.5
District,Turnham Green,Gunnersbury,3.5,3
District,Paddington,Edgware Road (Circle/District/Hammersmith and City),2,2.5
District,Earls Court,West Kensington,3,2
District,West Kensington,Barons Court,1.5,1.5
District,Barons Court,Hammersmith (District),1.5,2
District,Hammersmith (District),Ravenscourt Park,2.5,2
District,Southfields,Wimbledon Park,2.5,2
District,Whitechapel,Aldgate East,2,2.5
District,South Kensington,Gloucester Road,1.5,2
District,Gloucester Road,Earls Court,2.5,2.5
District,Mile End,Stepney Green,2,2
District,Earls Court,High Street Kensington,3,3.5
District,High Street Kensington,Notting Hill Gate,2,2
District,Mansion House,Blackfriars,2,1.5
District,Becontree,Upney,2.5,2.5
District,Monument,Cannon Street,1.5,1
